Date, Open, High, Low, Close
01/14/20, 3262.08, 3270.54, 3256.18, 3270.54
01/13/20, 3259.44, 3267.97, 3248.00, 3251.07
01/10/20, 3252.66, 3261.28, 3246.62, 3255.95
01/09/20, 3262.72, 3262.72, 3243.10, 3247.48
01/08/20, 3211.28, 3245.89, 3193.31, 3245.89
01/07/20, 3236.23, 3247.86, 3233.50, 3247.86
01/06/20, 3221.56, 3226.11, 3210.68, 3218.86
01/03/20, 3260.27, 3268.73, 3227.63, 3238.82
01/02/20, 3230.48, 3256.09, 3220.67, 3252.00
12/31/19, 3201.31, 3239.24, 3201.31, 3222.83
12/30/19, 3228.04, 3232.27, 3214.32, 3222.44
12/27/19, 3226.92, 3230.93, 3220.47, 3226.53
12/26/19, 3221.83, 3222.99, 3205.99, 3222.99
12/24/19, 3218.21, 3224.71, 3207.69, 3221.67
12/23/19, 3216.46, 3218.45, 3204.50, 3214.00
12/20/19, 3217.03, 3217.03, 3203.50, 3212.39
12/19/19, 3205.09, 3211.51, 3194.92, 3207.42
12/18/19, 3195.07, 3217.12, 3189.77, 3209.54
12/17/19, 3205.91, 3217.83, 3192.82, 3200.80
12/16/19, 3213.61, 3219.53, 3206.09, 3206.09
12/13/19, 3211.14, 3223.45, 3205.97, 3214.05
12/12/19, 3188.99, 3206.19, 3184.18, 3194.67
12/11/19, 3160.20, 3187.33, 3159.50, 3172.90
12/10/19, 3182.59, 3183.83, 3159.18, 3162.89
12/09/19, 3195.97, 3200.12, 3179.82, 3179.82
12/06/19, 3179.98, 3194.71, 3171.51, 3194.71
